rank,Song,Artist,Country of origin
1,Paint the Town Red,Doja Cat,United States
2,The Worst Person Alive,G Flip,Australia
3,Saving Up,Dom Dolla,Australia
4,Rhyme Dust,MK and Dom Dolla,United States/Australia
5,Prada,"Cassö, Raye and D-Block Europe",United Kingdom
6,Adore U,Fred Again and Obongjayar,United Kingdom/Nigeria
7,What Was I Made For?,Billie Eilish,United States
8,Rush,Troye Sivan,Australia/South Africa
9,Lovin on Me,Jack Harlow,United States
10,Chemical,Post Malone,United States
11,Vampire,Olivia Rodrigo,United States
12,Rumble,"Skrillex, Fred Again and Flowdan",United States/United Kingdom
13,Kill Bill,SZA,United States
14,Atmosphere,Fisher and Kita Alexander,Australia
15,(It Goes Like) Nanana,Peggy Gou,South Korea
16,Sprinter,Dave and Central Cee,United Kingdom
17,Back on 74,Jungle,United Kingdom
18,Eat Your Man,Dom Dolla and Nelly Furtado,Australia/Canada
19,Therapy,Budjerah,Australia
20,Sorry Instead,Spacey Jane,Australia
21,Greedy,Tate McRae,Canada
22,Be Your Man,G Flip,Australia
23,Take It Off,Fisher and Aatig,Australia/Latvia
24,Good Enough,G Flip,Australia
25,Rich Baby Daddy,Drake featuring Sexyy Red and SZA,Canada/United States
26,Rough,G Flip,Australia
27,Imposter Syndrome,Lime Cordiale,Australia
28,Dance the Night,Dua Lipa,United Kingdom
29,Say Yes to Heaven,Lana Del Rey,United States
30,Not Strong Enough,Boygenius,United States
31,One of Your Girls,Troye Sivan,Australia/South Africa
32,Bad Idea Right?,Olivia Rodrigo,United States
33,Got Me Started,Troye Sivan,Australia/South Africa
34,Get Him Back!,Olivia Rodrigo,United States
35,Baby Again..,"Fred Again, Skrillex and Four Tet",United Kingdom/United States
36,Boy's a Liar Pt. 2,PinkPantheress and Ice Spice,United Kingdom/United States
37,Laced Up,Hilltop Hoods,Australia
38,Minivan,The Rions,Australia
39,Green Honda,Benee,New Zealand
40,Scary Movies,The Rions,Australia
41,Houdini,Dua Lipa,United Kingdom
42,Pedestal,Lime Cordiale,Australia
43,Popular,"The Weeknd, Playboi Carti and Madonna",Canada/United States
44,My Love Mine All Mine,Mitski,United States/Japan
45,Still Have Room,Hockey Dad,Australia
46,Strangers,Kenya Grace,United Kingdom/South Africa
47,Sweetheart,Old Mervs,Australia
48,Padam Padam,Kylie Minogue,Australia
49,Agora Hills,Doja Cat,United States
50,Australia,G Flip,Australia
51,Ten,Fred Again and Jozzy,United Kingdom/United States
52,I Used to Be Fun,Teen Jesus and the Jean Teasers,Australia
53,Lookin' Out,King Stingray,Australia
54,More Than You Know,Blink-182,United States
55,We Don't Talk About It,Thelma Plum,Australia
56,All-American Bitch,Olivia Rodrigo,United States
57,Darkside,Bring Me the Horizon,United Kingdom
58,Lost,Bring Me the Horizon,United Kingdom
59,Spin Me Like Your Records,Pacific Avenue,Australia
60,A&W,Lana Del Rey,United States
61,Love Again,The Kid Laroi,Australia
62,Dogtooth,"Tyler, the Creator",United States
63,Perfect for You,Peach PRC,Australia
64,Fall at Your Feet (Like a Version),Peking Duk featuring Julia Stone,Australia
65,Real Life,G Flip,Australia
66,Barbie World,"Nicki Minaj, Ice Spice and Aqua",Trinidad and Tobago/United States/Denmark
67,Letting Go,Angie McMahon,Australia
68,F U Goodbye,Peach PRC,Australia
69,Leaving the Light,Genesis Owusu,Australia/Ghana
70,Snooze,SZA,United States
71,Take What You Want,The Rions,Australia
72,Stockholm,Dice,Australia
73,Water,Tyla,South Africa
74,Speedracer,Teenage Dads,Australia
75,Nobody Gets Me,SZA,United States
76,Sofa King,Royel Otis,Australia
77,I Don't Wanna Be Like You,Ruel,United Kingdom/Australia
78,Bleed,The Kid Laroi,Australia
79,Video Killed the Radio Star (Like a Version),Teenage Dads,Australia
80,7 Days,G Flip,Australia
81,Like a Girl Does,Peach PRC,Australia
82,Exes,Tate McRae,Canada
83,The Summoning,Sleep Token,United Kingdom
84,Trippin Up,The Jungle Giants,Australia
85,Glue Song,Beabadoobee,Philippines/United Kingdom
86,Never Felt So Alone,Labrinth,United Kingdom
87,Fine Day Anthem,Skrillex and Boys Noize,United States/Germany
88,Midnight Driving,Teenage Dads,Australia
89,Nothing Matters,The Last Dinner Party,United Kingdom
90,Nightmare,Polaris,Australia
91,Did You Know That There's a Tunnel Under Ocean Blvd,Lana Del Rey,United States
92,Strawberry Daydream,Pacific Avenue,Australia
93,No Bad Days,The Terrys,Australia
94,Sweat You Out My System,May-a,Australia
95,Welcome to the DCC,Nothing but Thieves,United Kingdom
96,Boys Light Up,Chillinit,Australia
97,Stay Blessed,Genesis Owusu,Australia/Ghana
98,Cool About It,Boygenius,United States
99,I Miss You (Like a Version),Slowly Slowly,Australia
100,Lost the Breakup,Maisie Peters,United Kingdom
