rank,Song,Artist,Country of origin
1,Confidence,Ocean Alley,Australia
2,Losing It,Fisher,Australia
3,Sicko Mode,Travis Scott,United States
4,This Is America,Childish Gambino,United States
5,I Said Hi,Amy Shark,Australia
6,Be Alright,Dean Lewis,Australia
7,Groceries,Mallrat,Australia
8,When the Party's Over,Billie Eilish,United States
9,Dinosaurs,Ruby Fields,Australia
10,Knees,Ocean Alley,Australia
11,Up in the Clouds,Skegss,Australia
12,Turn,The Wombats,United Kingdom
13,Praise the Lord (Da Shine),ASAP Rocky featuring Skepta,United States/United Kingdom
14,I'm Good,Wafia,Australia
15,Just Friends,Hayden James featuring Boy Matthews,Australia/United Kingdom
16,Baby Come Back (Like a Version),Ocean Alley,Australia
17,Lovely,Billie Eilish and Khalid,United States
18,Join the Club,Hockey Dad,Australia
19,Peach,Broods,New Zealand
20,Waiting,Kian,Australia
21,Never Ever,The Rubens featuring Sarah,Australia
22,Underwater,Rüfüs Du Sol,Australia
23,Treat You Better,Rüfüs Du Sol,Australia
24,Leave Me Lonely,Hilltop Hoods,Australia
25,I Miss You,Thundamentals,Australia
26,All the Pretty Girls,Vera Blue,Australia
27,Sunflower,Post Malone and Swae Lee,United States
28,All the Stars,Kendrick Lamar and SZA,United States
29,Fire,Peking Duk,Australia
30,Sometimes,Cub Sport,Australia
31,Church,Alison Wonderland,Australia
32,God Forgot,The Rubens,Australia
33,Better Now,Post Malone,United States
34,1950,King Princess,United States
35,Ladders,Mac Miller,United States
36,All Loved Up,Amy Shark,Australia
37,Love Me Now,Ziggy Alberts,Australia
38,About You,G Flip,Australia
39,The Perfect Life Does Not Exist,Ball Park Music,Australia
40,Nice for What,Drake,Canada
41,In the Air,DMA's,Australia
42,Laps Around the Sun,Ziggy Alberts,Australia
43,God's Plan,Drake,Canada
44,Clark Griswold,Hilltop Hoods featuring Adrian Eagle,Australia
45,Mantra,Bring Me the Horizon,United Kingdom
46,You Should See Me in a Crown,Billie Eilish,United States
47,Like People,DZ Deathrays,Australia
48,When I Dream,San Cisco,Australia
49,Missing Me,Angie McMahon,Australia
50,No Place,Rüfüs Du Sol,Australia
51,Mr La Di Da Di,Baker Boy,Australia
52,Better,Khalid,United States
53,We're Going Home,Vance Joy,Australia
54,Saturday Sun,Vance Joy,Australia
55,Wasted,Peking Duk,Australia
56,Without Me,Halsey,United States
57,Martini,The Presets,Australia
58,Soaked,Bene,New Zealand
59,Give Me My Name Back,Meg Mac,Australia
60,The End,DMA's,Australia
61,I Wanna Be Everybody,Hockey Dad,Australia
62,Killing My Time,G Flip,Australia
63,Boogie,Brockhampton,United States
64,Mistake,Middle Kids,Australia
65,Scream Whole,Methyl Ethel,Australia
66,Need You,Flight Facilities featuring Nïka,Australia/New Zealand
67,Tints,Anderson .Paak featuring Kendrick Lamar,United States
68,Eastside,"Benny Blanco, Halsey and Khalid",United States
69,Cheetah Tongue,The Wombats,United Kingdom
70,UFO,Mallrat featuring Allday,Australia
71,Smogged Out,Skegss,Australia
72,What Can I Do If The Fire Goes Out? (Like a Version),Nothing But Thieves,United Kingdom
73,Sweet Release,Hockey Dad,Australia
74,Pussy Is God,King Princess,United States
75,Molotov,Kira Puru,Australia
76,Clarity,Polish Club,Australia
77,Miracle,Chvrches,United Kingdom
78,Better Together,Hayden James featuring Running Touch,Australia
79,Clumsy Love,Thelma Plum,Australia
80,Nothing Breaks Like a Heart,Mark Ronson featuring Miley Cyrus,United Kingdom/United States
81,Ballroom,Jack River,Australia
82,Hunger,Florence and the Machine,United Kingdom
83,1999 Wildfire,Brockhampton,United States
84,Cigarettes,Tash Sultana,Australia
85,Bubblin,Anderson .Paak,United States
86,Dirt Cheap,Lime Cordiale,Australia
87,Younger,Ruel,Australia
88,Labrador,Waax,Australia
89,Dazed & Confused,Ruel,Australia
90,Psycho,Post Malone featuring Ty Dolla Sign,United States
91,Sundress,ASAP Rocky,United States
92,Everybody But You,Thundamentals,Australia
93,You Can Count On Me,Trophy Eyes,Australia
94,Ivy (Doomsday),The Amity Affliction,Australia
95,Four Out of Five,Arctic Monkeys,United Kingdom
96,Take It to the Heart,Odette,Australia
97,Do I Need You Now?,DMA's,Australia
98,Ghost Town,Kanye West featuring PartyNextDoor,United States/Canada
99,Polygraph Eyes,Yungblud,United Kingdom
100,Happy Sad,Ocean Alley,Australia
