rank,Song,Artist,Country of origin
1,Heat Waves,Glass Animals,United Kingdom
2,Booster Seat,Spacey Jane,Australia
3,The Difference,Flume and Toro y Moi,Australia/United States
4,Cherub,Ball Park Music,Australia
5,Lost in Yesterday,Tame Impala,Australia
6,WAP,Cardi B featuring Megan Thee Stallion,United States
7,Hyperfine,G Flip,Australia
8,Sending Me Ur Loving,The Jungle Giants,Australia
9,I'm Good?,Hilltop Hoods,Australia
10,Therefore I Am,Billie Eilish,United States
11,On Our Own,Lime Cordiale,Australia
12,Get on the Beers,Mashd N Kutcher featuring Dan Andrews,Australia
13,Rockstar,Mallrat,Australia
14,Tombstone,Ocean Alley,Australia
15,Skin,Spacey Jane,Australia
16,Screw Loose,Lime Cordiale,Australia
17,Is It True,Tame Impala,Australia
18,Tangerine,Glass Animals,United Kingdom
19,You Should Be Sad,Halsey,United States
20,Addicted to the Sunshine,Lime Cordiale,Australia
21,Energy,Stace Cadet and KLP,Australia
22,Complicated,Eves Karydas,Australia
23,Good News,Mac Miller,United States
24,Blue World,Mac Miller,United States
25,Reality Check Please,Lime Cordiale,Australia
26,No Plans to Make Plans,Lime Cordiale,Australia
27,Under the Thunder,Skegss,Australia
28,Straightfaced,Spacey Jane,Australia
29,Dribble,Sycco,Australia
30,Bagi-la-m Bargan,Birdz featuring Fred Leone,Australia
31,Reasons,San Cisco,Australia
32,Criminals,DMA's,Australia
33,Breathe Deeper,Tame Impala,Australia
34,Everybody Rise,Amy Shark,Australia
35,Running Red Lights,The Avalanches featuring Rivers Cuomo and Pink Siifu,Australia/United States
36,Forget Me Too,Machine Gun Kelly featuring Halsey,United States
37,So Done,The Kid Laroi,Australia
38,Parasite Eve,Bring Me the Horizon,United Kingdom
39,Righteous,Juice Wrld,United States
40,Come & Go,Juice Wrld and Marshmello,United States
41,I Still Dream About You,The Smith Street Band,Australia
42,Whats Poppin,Jack Harlow,United States
43,Together,Ziggy Alberts,Australia
44,You & I,G Flip,Australia
45,As Long as You Care,Ruel,Australia
46,Pretty Lady,Tash Sultana,Australia
47,Animals,Architects,United Kingdom
48,Ain't It Different,"Headie One, AJ Tracey and Stormzy",United Kingdom
49,Wishing Well,Juice Wrld,United States
50,Nothing to Love About Love,Peking Duk and The Wombats,Australia/United Kingdom
51,Your Love (Déjà Vu),Glass Animals,United Kingdom
52,The Glow,DMA's,Australia
53,In Your Eyes,The Weeknd,Canada
54,Blue (Flume Remix),Eiffel 65,Italy/Australia
55,I Think You're Great,Alex the Astronaut,Australia
56,On the Line,San Cisco,Australia
57,Sobercoaster,Beddy Rays,Australia
58,Fly Away,Tones and I,Australia
59,Gimme Love,Joji,Japan
60,Go,The Kid Laroi and Juice Wrld,Australia/United States
61,Pretty Grim,Ruby Fields,Australia
62,Run,Joji,Japan
63,Day & Age,Ball Park Music,Australia
64,Soak Me in Bleach,The Amity Affliction,Australia
65,C'mon,Amy Shark featuring Travis Barker,Australia/United States
66,Fantasising,Skegss,Australia
67,Boss Bitch,Doja Cat,United States
68,Lie to Me,Vera Blue,Australia
69,Second,Hope D,Australia
70,Low,Chet Faker,Australia
71,Obey,Bring Me the Horizon and Yungblud,United Kingdom
72,Way Down,Ocean Alley,Australia
73,Don't Need You,Genesis Owusu,Ghana/Australia
74,Scream Drive Faster,Laurel,United Kingdom
75,Photo ID,Remi Wolf,United States
76,Baby It's You,London Grammar,United Kingdom
77,House Arrest,Sofi Tukker and Gorgon City,United States/United Kingdom
78,Lady Marmalade (Like a Version),G Flip,Australia
79,My Future,Billie Eilish,United States
80,Freaks,Fisher,Australia
81,Weightless,Spacey Jane,Australia
82,The Clap,The Chats,Australia
83,Down for You,Cosmo's Midnight and Ruel,Australia
84,Chicken Tenders,Dominic Fike,United States
85,Too Tough Terry,Dune Rats,Australia
86,Laugh Now Cry Later,Drake featuring Lil Durk,Canada/United States
87,Three Leaf Clover,Teenage Joans,Australia
88,Heart Attack,Bronson featuring Lau.ra,Australia/United States/United Kingdom
89,In Her Eyes,The Jungle Giants,Australia
90,No Time to Die,Billie Eilish,United States
91,Charlie (Like a Version),Bugs,Australia
92,These Days,Thelma Plum,Australia
93,Lemonade,Internet Money and Gunna featuring Don Toliver and Nav,United States/Canada
94,Rain,Aitch and AJ Tracey featuring Tay Keith,United Kingdom/United States
95,Loose Ends,Illy featuring G Flip,Australia
96,Germaphobe,Hockey Dad,Australia
97,Audacity,Stormzy featuring Headie One,United Kingdom
98,Your Man,Joji,Japan
99,Itch,Hockey Dad,Australia
100,Kool,Benee,New Zealand
