rank,Song,Artist,Country of origin
1,Humble,Kendrick Lamar,United States
2,Let Me Down Easy,Gang of Youths,Australia
3,Chateau,Angus & Julia Stone,Australia
4,Ubu,Methyl Ethel,Australia
5,"The Deepest Sighs, the Frankest Shadows",Gang of Youths,Australia
6,Green Light,Lorde,New Zealand
7,Go Bang,Pnau,Australia
8,Sally,Thundamentals featuring Mataya,Australia
9,Lay It on Me,Vance Joy,Australia
10,What Can I Do If the Fire Goes Out?,Gang of Youths,Australia
11,Sweet,Brockhampton,United States
12,Fake Magic,Peking Duk and AlunaGeorge,Australia/United Kingdom
13,Young Dumb & Broke,Khalid,United States
14,Homemade Dynamite,Lorde,New Zealand
15,Regular Touch,Vera Blue,Australia
16,Feel the Way I Do,The Jungle Giants,Australia
17,Marryuna,Baker Boy featuring Yirrmal,Australia
18,Exactly How You Are,Ball Park Music,Australia
19,The Man,The Killers,United States
20,Let You Down,Peking Duk featuring Icona Pop,Australia/Sweden
21,Birthdays,The Smith Street Band,Australia
22,Lemon to a Knife Fight,The Wombats,United Kingdom
23,Not Worth Hiding,Alex the Astronaut,Australia
24,Rockstar,Post Malone featuring 21 Savage,United States
25,Weekends,Amy Shark,Australia
26,Feel It Still,Portugal. The Man,United States
27,Be About You,Winston Surfshirt,Australia
28,Mystik,Tash Sultana,Australia
29,Mended,Vera Blue,Australia
30,Low Blows,Meg Mac,Australia
31,Lay Down,Touch Sensitive,Australia
32,Numb,Hayden James featuring Graace,Australia
33,Slow Mover,Angie McMahon,Australia
34,DNA,Kendrick Lamar,United States
35,Passionfruit,Drake,Canada
36,I Haven't Been Taking Care of Myself,Alex Lahey,Australia
37,Slide,Calvin Harris featuring Frank Ocean and Migos,United Kingdom/United States
38,Bellyache,Billie Eilish,United States
39,Got on My Skateboard,Skegss,Australia
40,True Lovers,Holy Holy,Australia
41,Blood (Like a Version),Gang of Youths,Australia
42,Cola,CamelPhat and Elderbrook,United Kingdom
43,Murder to the Mind,Tash Sultana,Australia
44,In Motion,Allday featuring Japanese Wallpaper,Australia
45,Every Day's the Weekend,Alex Lahey,Australia
46,Better,Mallrat,Australia
47,Want You Back,Haim,United States
48,The Comedown,Ocean Alley,Australia
49,Passiona,The Smith Street Band,Australia
50,On Your Way Down,The Jungle Giants,Australia
51,Man's Not Hot,Big Shaq,United Kingdom
52,Glorious,Macklemore featuring Skylar Grey,United States
53,Moments,Bliss n Eso featuring Gavin James,Australia/Ireland
54,Homely Feeling,Hockey Dad,Australia
55,6 Pack,Dune Rats,Australia
56,Watch Me Read You,Odette,Australia
57,Bad Dream,The Jungle Giants,Australia
58,The Opener,Camp Cope,Australia
59,Used to Be in Love,The Jungle Giants,Australia
60,Boys,Charli XCX,United Kingdom
61,21 Grams,Thundamentals featuring Hilltop Hoods,Australia
62,Saved,Khalid,United States
63,Life Goes On,E^ST,Australia
64,Fool's Gold,Jack River,Australia
65,Everything Now,Arcade Fire,Canada
66,Lemon,N.E.R.D and Rihanna,United States/Barbados
67,Shred for Summer,DZ Deathrays,Australia
68,Golden,Kingswood,Australia
69,"I Love You, Will You Marry Me",Yungblud,United Kingdom
70,Amsterdam,Nothing But Thieves,United Kingdom
71,Perfect Places,Lorde,New Zealand
72,In Cold Blood,alt-J,United Kingdom
73,Nuclear Fusion,King Gizzard & the Lizard Wizard,Australia
74,XO Tour Llif3,Lil Uzi Vert,United States
75,Braindead,Dune Rats,Australia
76,Cloud 9,Baker Boy featuring Kian,Australia
77,Million Man,The Rubens,Australia
78,Electric Feel (Like a Version),Tash Sultana,Australia
79,"Hey, Did I Do You Wrong?",San Cisco,Australia
80,Say Something Loving,The xx,United Kingdom
81,Liability,Lorde,New Zealand
82,1-800-273-8255,Logic featuring Alessia Cara and Khalid,United States/Canada
83,Blood Brothers,Amy Shark,Australia
84,Oceans,Vallis Alps,Australia
85,Does This Last,Boo Seeka,Australia
86,Maybe It's My First Time,Meg Mac,Australia
87,The Way You Used to Do,Queens of the Stone Age,United States
88,Edge of Town (Like a Version),Paul Dempsey,Australia
89,Dawning,DMA's,Australia
90,Hyperreal,Flume featuring Kučka,Australia
91,Big for Your Boots,Stormzy,United Kingdom
92,Love,Kendrick Lamar featuring Zacari,United States
93,Do What You Want,The Presets,Australia
94,Second Hand Car,Kim Churchill,Australia
95,Mask Off,Future,United States
96,Chasin',Cub Sport,Australia
97,Loyalty,Kendrick Lamar featuring Rihanna,United States/Barbados
98,Snow,Angus & Julia Stone,Australia
99,Arty Boy,Flight Facilities featuring Emma Louise,Australia
100,Don't Leave,Snakehips and MØ,United Kingdom/Denmark
